**********************Check Process Result(CheckImageByService)**********************
Index	Service	File Path	Total Screenshots	Adapted Screenshots	Image File Name
94	analysis-services	articles/analysis-services/analysis-services-import-pbix.md	4	0	
95	analysis-services	articles/analysis-services/analysis-services-logging.md	3	0	
96	analysis-services	articles/analysis-services/analysis-services-manage.md	3	0	
97	analysis-services	articles/analysis-services/analysis-services-manage-users.md	2	0	
98	analysis-services	articles/analysis-services/analysis-services-monitor.md	2	0	
99	analysis-services	articles/analysis-services/analysis-services-overview.md	6	0	
100	analysis-services	articles/analysis-services/analysis-services-qs-firewall.md	1	0	
101	analysis-services	articles/analysis-services/analysis-services-scale-out.md	3	0	
102	analysis-services	articles/analysis-services/analysis-services-server-admins.md	2	0	
103	analysis-services	articles/analysis-services/analysis-services-vnet-gateway.md	1	0	
104	analysis-services	articles/analysis-services/index.md	3	0	
105	analysis-services	articles/analysis-services/tutorials/analysis-services-tutorial-pbid.md	6	0	
106	analysis-services	articles/analysis-services/tutorials/analysis-services-tutorial-roles.md	11	0	
107	azure-resource-manager	articles/azure-resource-manager/best-practices-resource-manager-security.md	2	0	
108	azure-resource-manager	articles/azure-resource-manager/index.md	10	0	
109	azure-resource-manager	articles/azure-resource-manager/managed-application-author-marketplace.md	3	0	
110	azure-resource-manager	articles/azure-resource-manager/managed-application-consumption.md	7	0	
111	azure-resource-manager	articles/azure-resource-manager/management-groups.md	14	1	create_context_menu.png
112	azure-resource-manager	articles/azure-resource-manager/powershell-azure-resource-manager.md	2	0	
113	azure-resource-manager	articles/azure-resource-manager/resource-group-audit.md	8	0	
114	azure-resource-manager	articles/azure-resource-manager/resource-group-create-service-principal-portal.md	25	0	
115	azure-resource-manager	articles/azure-resource-manager/resource-group-linked-templates.md	1	0	
116	azure-resource-manager	articles/azure-resource-manager/resource-group-move-resources.md	4	0	
117	azure-resource-manager	articles/azure-resource-manager/resource-group-overview.md	4	0	
118	azure-resource-manager	articles/azure-resource-manager/resource-group-portal.md	18	0	
119	azure-resource-manager	articles/azure-resource-manager/resource-group-template-deploy-portal.md	31	0	
120	azure-resource-manager	articles/azure-resource-manager/resource-group-using-tags.md	1	0	
121	azure-resource-manager	articles/azure-resource-manager/resource-manager-api-authentication.md	6	0	
122	azure-resource-manager	articles/azure-resource-manager/resource-manager-common-deployment-errors.md	6	0	
123	azure-resource-manager	articles/azure-resource-manager/resource-manager-deployment-model.md	2	0	
124	azure-resource-manager	articles/azure-resource-manager/resource-manager-deployment-operations.md	6	0	
125	azure-resource-manager	articles/azure-resource-manager/resource-manager-export-template.md	19	0	
126	azure-resource-manager	articles/azure-resource-manager/resource-manager-keyvault-parameter.md	2	0	
127	azure-resource-manager	articles/azure-resource-manager/resource-manager-not-found-errors.md	4	0	
128	azure-resource-manager	articles/azure-resource-manager/resource-manager-policy-portal.md	10	0	
129	azure-resource-manager	articles/azure-resource-manager/resource-manager-quickstart-create-templates-use-the-portal.md	8	3	azure-resource-manager-template-tutorial-create-storage-account-template-parameters.png;azure-resource-manager-template-tutorial-create-storage-account-template.png;azure-resource-manager-template-tutorial-create-storage-account.png
130	azure-resource-manager	articles/azure-resource-manager/resource-manager-quickstart-create-templates-use-visual-studio-code.md	6	0	
131	azure-resource-manager	articles/azure-resource-manager/resource-manager-quota-errors.md	5	0	
132	azure-resource-manager	articles/azure-resource-manager/resource-manager-register-provider-errors.md	2	0	
133	azure-resource-manager	articles/azure-resource-manager/resource-manager-sequential-loop.md	1	0	
134	azure-resource-manager	articles/azure-resource-manager/resource-manager-sku-not-available-errors.md	1	0	
135	azure-resource-manager	articles/azure-resource-manager/resource-manager-supported-services.md	10	0	
136	azure-resource-manager	articles/azure-resource-manager/resource-manager-template-best-practices.md	1	0	
137	azure-resource-manager	articles/azure-resource-manager/resource-manager-tutorial-create-encrypted-storage-accounts.md	11	0	
138	azure-resource-manager	articles/azure-resource-manager/resource-manager-tutorial-create-templates-with-dependent-resources.md	7	0	
139	azure-resource-manager	articles/azure-resource-manager/resource-manager-update.md	2	0	
140	azure-resource-manager	articles/azure-resource-manager/templates-cloud-consistency.md	3	0	
141	azure-resource-manager	articles/azure-resource-manager/vs-azure-tools-resource-groups-deployment-projects-create-deploy.md	32	0	
142	container-registry	articles/container-registry/container-registry-authentication.md	1	0	
143	container-registry	articles/container-registry/container-registry-best-practices.md	2	0	
144	container-registry	articles/container-registry/container-registry-content-trust.md	3	0	
145	container-registry	articles/container-registry/container-registry-delete.md	1	0	
146	container-registry	articles/container-registry/container-registry-event-grid-quickstart.md	3	0	
147	container-registry	articles/container-registry/container-registry-geo-replication.md	6	0	
148	container-registry	articles/container-registry/container-registry-get-started-azure-cli.md	1	0	
149	container-registry	articles/container-registry/container-registry-get-started-docker-cli.md	1	0	
150	container-registry	articles/container-registry/container-registry-get-started-portal.md	15	0	
151	container-registry	articles/container-registry/container-registry-get-started-powershell.md	1	0	
152	container-registry	articles/container-registry/container-registry-repositories.md	1	0	
153	container-registry	articles/container-registry/container-registry-skus.md	1	0	
154	container-registry	articles/container-registry/container-registry-tutorial-base-image-update.md	2	0	
155	container-registry	articles/container-registry/container-registry-tutorial-build-tasks.md	2	0	
156	container-registry	articles/container-registry/container-registry-tutorial-deploy-app.md	9	0	
157	container-registry	articles/container-registry/container-registry-tutorial-deploy-update.md	5	0	
158	container-registry	articles/container-registry/container-registry-tutorial-prepare-registry.md	7	0	
159	container-registry	articles/container-registry/container-registry-tutorial-quick-build.md	2	0	
160	container-registry	articles/container-registry/container-registry-upgrade.md	4	0	
161	container-registry	articles/container-registry/container-registry-webhook.md	2	0	
162	container-registry	articles/container-registry/index.md	8	0	
163	cosmos-db	articles/cosmos-db/20-days-of-tips.md	5	0	
164	cosmos-db	articles/cosmos-db/bulk-executor-overview.md	1	0	
165	cosmos-db	articles/cosmos-db/cassandra-import-data.md	1	0	
166	cosmos-db	articles/cosmos-db/cassandra-introduction.md	2	0	
167	cosmos-db	articles/cosmos-db/change-feed.md	7	0	
168	cosmos-db	articles/cosmos-db/change-feed-hl7-fhir-logic-apps.md	8	0	
169	cosmos-db	articles/cosmos-db/changefeed-ecommerce-solution.md	8	0	
170	cosmos-db	articles/cosmos-db/connect-mongodb-account.md	2	0	
171	cosmos-db	articles/cosmos-db/consistency-levels.md	2	0	
172	cosmos-db	articles/cosmos-db/create-cassandra-dotnet.md	4	0	
173	cosmos-db	articles/cosmos-db/create-cassandra-java.md	3	0	
174	cosmos-db	articles/cosmos-db/create-cassandra-nodejs.md	4	0	
175	cosmos-db	articles/cosmos-db/create-cassandra-python.md	4	0	
176	cosmos-db	articles/cosmos-db/create-graph-dotnet.md	5	0	
177	cosmos-db	articles/cosmos-db/create-graph-gremlin-console.md	3	0	
178	cosmos-db	articles/cosmos-db/create-graph-java.md	9	0	
179	cosmos-db	articles/cosmos-db/create-graph-nodejs.md	2	0	
180	cosmos-db	articles/cosmos-db/create-graph-php.md	8	0	
181	cosmos-db	articles/cosmos-db/create-graph-python.md	8	0	
182	cosmos-db	articles/cosmos-db/create-mongodb-golang.md	3	0	
183	cosmos-db	articles/cosmos-db/create-mongodb-nodejs.md	3	0	
184	cosmos-db	articles/cosmos-db/create-sql-api-dotnet.md	3	0	
185	cosmos-db	articles/cosmos-db/create-sql-api-dotnet-core.md	7	0	
186	cosmos-db	articles/cosmos-db/create-sql-api-java.md	4	0	
187	cosmos-db	articles/cosmos-db/create-sql-api-python.md	3	0	
188	cosmos-db	articles/cosmos-db/create-sql-api-xamarin-dotnet.md	11	0	
189	cosmos-db	articles/cosmos-db/create-table-dotnet.md	11	0	
190	cosmos-db	articles/cosmos-db/create-table-java.md	1	0	
191	cosmos-db	articles/cosmos-db/create-table-nodejs.md	1	0	
192	cosmos-db	articles/cosmos-db/create-table-python.md	1	0	
193	cosmos-db	articles/cosmos-db/create-website.md	10	0	
194	cosmos-db	articles/cosmos-db/data-explorer.md	1	0	
195	cosmos-db	articles/cosmos-db/database-encryption-at-rest.md	1	0	
196	cosmos-db	articles/cosmos-db/database-security.md	3	0	
197	cosmos-db	articles/cosmos-db/distribute-data-globally.md	8	0	
198	cosmos-db	articles/cosmos-db/faq.md	2	0	
199	cosmos-db	articles/cosmos-db/firewall-support.md	7	0	
200	cosmos-db	articles/cosmos-db/graph-introduction.md	3	0	
201	cosmos-db	articles/cosmos-db/gremlin-support.md	1	0	
202	cosmos-db	articles/cosmos-db/import-data.md	32	0	
203	cosmos-db	articles/cosmos-db/index.md	14	0	
204	cosmos-db	articles/cosmos-db/indexing-policies.md	1	0	
205	cosmos-db	articles/cosmos-db/introduction.md	8	0	
206	cosmos-db	articles/cosmos-db/lambda-architecture.md	7	0	
207	cosmos-db	articles/cosmos-db/local-emulator.md	4	0	
208	cosmos-db	articles/cosmos-db/local-emulator-export-ssl-certificates.md	10	0	
209	cosmos-db	articles/cosmos-db/logging.md	12	0	
210	cosmos-db	articles/cosmos-db/manage-account.md	7	0	
211	cosmos-db	articles/cosmos-db/mobile-apps-with-xamarin.md	8	0	
212	cosmos-db	articles/cosmos-db/mongodb-introduction.md	1	0	
213	cosmos-db	articles/cosmos-db/mongodb-migrate.md	1	0	
214	cosmos-db	articles/cosmos-db/mongodb-mongochef.md	11	0	
215	cosmos-db	articles/cosmos-db/mongodb-mongoose.md	2	0	
216	cosmos-db	articles/cosmos-db/mongodb-robomongo.md	4	0	
217	cosmos-db	articles/cosmos-db/mongodb-ttl.md	1	0	
218	cosmos-db	articles/cosmos-db/monitor-accounts.md	11	0	
219	cosmos-db	articles/cosmos-db/multi-master-workaround.md	1	0	
220	cosmos-db	articles/cosmos-db/multi-region-writers.md	5	0	
221	cosmos-db	articles/cosmos-db/odbc-driver.md	8	0	
222	cosmos-db	articles/cosmos-db/online-backup-and-restore.md	4	2	automatic-backup.png;global-distribution.png
223	cosmos-db	articles/cosmos-db/partition-data.md	1	0	
224	cosmos-db	articles/cosmos-db/performance-levels.md	4	0	
225	cosmos-db	articles/cosmos-db/performance-tips.md	2	0	
226	cosmos-db	articles/cosmos-db/performance-tips-java.md	2	0	
227	cosmos-db	articles/cosmos-db/powerbi-visualize.md	22	0	
228	cosmos-db	articles/cosmos-db/query-cheat-sheet.md	2	0	
229	cosmos-db	articles/cosmos-db/regional-failover.md	5	0	
230	cosmos-db	articles/cosmos-db/request-units.md	5	0	
231	cosmos-db	articles/cosmos-db/secure-access-to-data.md	3	0	
232	cosmos-db	articles/cosmos-db/serverless-computing-database.md	7	0	
233	cosmos-db	articles/cosmos-db/set-throughput.md	6	0	
234	cosmos-db	articles/cosmos-db/social-media-apps.md	5	0	
235	cosmos-db	articles/cosmos-db/spark-connector.md	9	0	
236	cosmos-db	articles/cosmos-db/sql-api-cpp-get-started.md	6	0	
237	cosmos-db	articles/cosmos-db/sql-api-dotnet-application.md	42	0	
238	cosmos-db	articles/cosmos-db/sql-api-dotnetcore-get-started.md	5	0	
239	cosmos-db	articles/cosmos-db/sql-api-get-started.md	6	0	
240	cosmos-db	articles/cosmos-db/sql-api-introduction.md	2	0	
241	cosmos-db	articles/cosmos-db/sql-api-java-application.md	5	0	
242	cosmos-db	articles/cosmos-db/sql-api-modeling-data.md	2	0	
243	cosmos-db	articles/cosmos-db/sql-api-nodejs-application.md	4	0	
244	cosmos-db	articles/cosmos-db/sql-api-nodejs-get-started.md	3	1	node-js-tutorial-keys.png
245	cosmos-db	articles/cosmos-db/sql-api-python-application.md	17	0	
246	cosmos-db	articles/cosmos-db/sql-api-resources.md	3	0	
247	cosmos-db	articles/cosmos-db/sql-api-sql-query.md	1	0	
248	cosmos-db	articles/cosmos-db/storage-explorer.md	31	0	
249	cosmos-db	articles/cosmos-db/storage-table-design-guide.md	29	0	
250	cosmos-db	articles/cosmos-db/table-import.md	2	0	
251	cosmos-db	articles/cosmos-db/table-storage-cloud-service-nodejs.md	3	0	
252	cosmos-db	articles/cosmos-db/time-to-live.md	1	0	
253	cosmos-db	articles/cosmos-db/tutorial-develop-cassandra-java.md	2	0	
254	cosmos-db	articles/cosmos-db/tutorial-develop-graph-dotnet.md	1	0	
255	cosmos-db	articles/cosmos-db/tutorial-develop-mongodb-nodejs-part2.md	4	0	
256	cosmos-db	articles/cosmos-db/tutorial-develop-mongodb-nodejs-part3.md	10	0	
257	cosmos-db	articles/cosmos-db/tutorial-develop-mongodb-nodejs-part4.md	3	0	
258	cosmos-db	articles/cosmos-db/tutorial-develop-mongodb-nodejs-part5.md	3	0	
259	cosmos-db	articles/cosmos-db/tutorial-develop-mongodb-nodejs-part6.md	9	0	
260	cosmos-db	articles/cosmos-db/tutorial-develop-sql-api-dotnet.md	4	0	
261	cosmos-db	articles/cosmos-db/tutorial-functions-http-trigger.md	18	0	
262	cosmos-db	articles/cosmos-db/unique-keys.md	1	0	
263	cosmos-db	articles/cosmos-db/use-cases.md	6	0	
264	cosmos-db	articles/cosmos-db/use-metrics.md	4	0	
265	cosmos-db	articles/cosmos-db/vnet-service-endpoint.md	8	0	
266	event-hubs	articles/event-hubs/event-hubs-about.md	1	0	
267	event-hubs	articles/event-hubs/event-hubs-archive-python.md	1	0	
