**********************Check Process Result(CheckImageByService)**********************
Index	Service	File Path	Total Screenshots	Adapted Screenshots	Image Status	Image File Name
51	includes	includes/virtual-machines-common-network-overview.md	1	0	Pending	
52	includes	includes/virtual-machines-common-planned-maintenance.md	3	0	Pending	
53	includes	includes/virtual-machines-common-portal-create-fqdn.md	12	1	Reviewed	configure-pane.png
54	includes	includes/virtual-machines-common-redeploy-to-new-node.md	5	0	Pending	
55	includes	includes/virtual-machines-common-regions-and-availability.md	2	0	Pending	
56	includes	includes/virtual-machines-common-scale-sets-visual-studio.md	11	0	Pending	
57	includes	includes/virtual-machines-common-states-lifecycle.md	1	0	Pending	
58	includes	includes/virtual-machines-common-tag.md	6	0	Pending	
59	includes	includes/virtual-machines-common-tag-usage.md	3	0	Pending	
60	includes	includes/virtual-machines-common-troubleshoot-app-connection.md	4	0	Pending	
61	includes	includes/virtual-machines-linux-tutorial-wordpress.md	1	0	Pending	
62	includes	includes/virtual-machines-log-on-win-server.md	2	0	Pending	
63	includes	includes/virtual-machines-planned-maintenance-schedule.md	2	0	Pending	
64	includes	includes/virtual-machines-security-monitoring.md	10	0	Pending	
65	includes	includes/virtual-machines-sql-server-akv-prepare.md	2	0	Pending	
66	includes	includes/virtual-machines-sql-server-configure-alwayson-availability-group-listener.md	3	0	Pending	
67	includes	includes/virtual-machines-sql-server-connection-steps.md	24	0	Pending	
68	includes	includes/virtual-machines-sql-server-connection-tcp-protocol.md	3	0	Pending	
69	includes	includes/virtual-machines-sql-server-remote-desktop-connect.md	2	0	Pending	
70	includes	includes/virtual-network-create-udr-scenario-include.md	1	0	Pending	
71	includes	includes/virtual-network-deploy-multinic-scenario-include.md	1	0	Pending	
72	includes	includes/virtual-network-deploy-static-pip-scenario-include.md	1	0	Pending	
73	includes	includes/virtual-network-multiple-ip-addresses-scenario.md	1	0	Pending	
74	includes	includes/virtual-networks-create-nsg-scenario-include.md	1	0	Pending	
75	includes	includes/virtual-networks-create-vnet-arm-pportal-include.md	7	0	Pending	
76	includes	includes/virtual-networks-create-vnet-arm-template-click-include.md	5	0	Pending	
77	includes	includes/virtual-networks-create-vnet-classic-pportal-include.md	7	0	Pending	
78	includes	includes/virtual-networks-create-vnet-scenario-include.md	1	0	Pending	
79	includes	includes/virtual-networks-static-ip-scenario-include.md	1	0	Pending	
80	analysis-services	articles/analysis-services/analysis-services-addservprinc-admins.md	2	0	Pending	
81	analysis-services	articles/analysis-services/analysis-services-alias.md	2	0	Pending	
82	analysis-services	articles/analysis-services/analysis-services-async-refresh.md	7	0	Pending	
83	analysis-services	articles/analysis-services/analysis-services-backup.md	6	0	Pending	
84	analysis-services	articles/analysis-services/analysis-services-compat-level.md	1	0	Pending	
85	analysis-services	articles/analysis-services/analysis-services-connect-excel.md	2	0	Pending	
86	analysis-services	articles/analysis-services/analysis-services-create-model-portal.md	6	0	Pending	
87	analysis-services	articles/analysis-services/analysis-services-create-sample-model.md	5	0	Pending	
88	analysis-services	articles/analysis-services/analysis-services-create-server.md	2	0	Pending	
89	analysis-services	articles/analysis-services/analysis-services-data-providers.md	1	0	Pending	
90	analysis-services	articles/analysis-services/analysis-services-database-users.md	2	0	Pending	
91	analysis-services	articles/analysis-services/analysis-services-deploy.md	4	0	Pending	
92	analysis-services	articles/analysis-services/analysis-services-gateway.md	1	0	Pending	
93	analysis-services	articles/analysis-services/analysis-services-gateway-install.md	10	0	Pending	
94	analysis-services	articles/analysis-services/analysis-services-import-pbix.md	4	0	Pending	
95	analysis-services	articles/analysis-services/analysis-services-logging.md	3	0	Pending	
96	analysis-services	articles/analysis-services/analysis-services-manage.md	3	0	Pending	
97	analysis-services	articles/analysis-services/analysis-services-manage-users.md	2	0	Pending	
98	analysis-services	articles/analysis-services/analysis-services-monitor.md	2	0	Pending	
99	analysis-services	articles/analysis-services/analysis-services-overview.md	6	0	Pending	
100	analysis-services	articles/analysis-services/analysis-services-qs-firewall.md	1	0	Pending	
101	analysis-services	articles/analysis-services/analysis-services-scale-out.md	3	0	Pending	
102	analysis-services	articles/analysis-services/analysis-services-server-admins.md	2	0	Pending	
103	analysis-services	articles/analysis-services/analysis-services-vnet-gateway.md	1	0	Pending	
104	analysis-services	articles/analysis-services/index.md	3	0	Pending	
105	analysis-services	articles/analysis-services/tutorials/analysis-services-tutorial-pbid.md	6	0	Pending	
106	analysis-services	articles/analysis-services/tutorials/analysis-services-tutorial-roles.md	11	0	Pending	
107	azure-resource-manager	articles/azure-resource-manager/best-practices-resource-manager-security.md	2	0	Pending	
108	azure-resource-manager	articles/azure-resource-manager/index.md	10	0	Pending	
109	azure-resource-manager	articles/azure-resource-manager/managed-application-author-marketplace.md	3	0	Pending	
110	azure-resource-manager	articles/azure-resource-manager/managed-application-consumption.md	7	0	Pending	
111	azure-resource-manager	articles/azure-resource-manager/management-groups.md	14	1	Reviewed	create_context_menu.png
112	azure-resource-manager	articles/azure-resource-manager/powershell-azure-resource-manager.md	2	0	Pending	
113	azure-resource-manager	articles/azure-resource-manager/resource-group-audit.md	8	0	Pending	
114	azure-resource-manager	articles/azure-resource-manager/resource-group-create-service-principal-portal.md	25	0	Pending	
115	azure-resource-manager	articles/azure-resource-manager/resource-group-linked-templates.md	1	0	Pending	
116	azure-resource-manager	articles/azure-resource-manager/resource-group-move-resources.md	4	0	Pending	
117	azure-resource-manager	articles/azure-resource-manager/resource-group-overview.md	4	0	Pending	
118	azure-resource-manager	articles/azure-resource-manager/resource-group-portal.md	18	0	Pending	
119	azure-resource-manager	articles/azure-resource-manager/resource-group-template-deploy-portal.md	31	0	Pending	
120	azure-resource-manager	articles/azure-resource-manager/resource-group-using-tags.md	1	0	Pending	
121	azure-resource-manager	articles/azure-resource-manager/resource-manager-api-authentication.md	6	0	Pending	
122	azure-resource-manager	articles/azure-resource-manager/resource-manager-common-deployment-errors.md	6	0	Pending	
123	azure-resource-manager	articles/azure-resource-manager/resource-manager-deployment-model.md	2	0	Pending	
124	azure-resource-manager	articles/azure-resource-manager/resource-manager-deployment-operations.md	6	0	Pending	
125	azure-resource-manager	articles/azure-resource-manager/resource-manager-export-template.md	19	0	Pending	
126	azure-resource-manager	articles/azure-resource-manager/resource-manager-keyvault-parameter.md	2	0	Pending	
127	azure-resource-manager	articles/azure-resource-manager/resource-manager-not-found-errors.md	4	0	Pending	
